#	category	hindi_source	reference_marathi	Greedy	Beam Search	Beam + Repetition Blocking	Beam + Temp Scaling
1	Simple	यह एक बहुत अच्छा दिन है।	हा खूप छान दिवस आहे।	हे दिवस खूप दिवस आहे.	हा एक दिवस खूप दिवस आहे.	हा दिवस खूप दिवस आहे.	ही एक चांगली दिवस आहे.
2	Simple	मेरा नाम राजीव है।	माझं नाव राजीव आहे।	माझ्या नाव मी आहे.	माझे नाव मी आहे.	माझे नाव मी आहे.	माझे नाव मी आहे.
3	Simple	मैं स्कूल जा रहा हूँ।	मी शाळेत जात आहे।	मी शाळेत आलो आहे.	मी शाळा चालवत आहे.	मी शाळा चालवत आहे.	मी शाळा चालवत आहे.
4	Simple	भारत एक महान देश है।	भारत एक महान देश आहे।	भारत हा देश आहे.	भारत हा जगातला देश आहे.	भारत हा जगातला देश आहे.	भारत हा देश आहे.
5	Simple	आप कैसे हैं?	तुम्ही कसे आहात?	तुम्ही काय का?	काय का?	काय का?	काय का?
6	Simple	मुझे चाय पसंद है।	मला चहा आवडतो।	मला चहा कॉफी आहे.	मला चहा कॉफी आहे.	मला चहा कॉफी आहे.	मला चहा कॉफी आहे.
7	Simple	वह घर पर है।	तो घरी आहे।	ते घर आहे.	ते घर आहे.	ते घर आहे.	ते घर आहे.
8	Simple	आज मौसम अच्छा है।	आज हवामान छान आहे।	आज हवामान चांगले आहे.	आज हवामान चांगले आहे.	आज हवामान चांगले आहे.	आज हवामान चांगले आहे.
9	Simple	मुझे किताबें पढ़ना पसंद है।	मला पुस्तके वाचायला आवडतात।	मला पुस्तक वाचून लिहायची आहे.	मला पुस्तक वाचून मांडतो.	मला पुस्तक वाचून मांडतो.	मला पुस्तक वाचून मांडतो.
10	Simple	बच्चे पार्क में खेल रहे हैं।	मुले बागेत खेळत आहेत।	लहान उद्यानात खेळत आहेत.	लहान उद्यानात खेळत आहेत.	लहान उद्यानात खेळत आहेत.	लहान उद्यानात खेळत आहेत.
11	Medium	मैं कल अपने दोस्त से मिलने जाऊँगा।	मी उद्या माझ्या मित्राला भेटायला जाईन।	मी मला मित्र मित्रांना भेट घेऊन जाईन.	मी मला मित्र मित्रांना भेट घेऊन जाईन.	मी मला मित्र मित्रांना भेट घेऊन जाईन.	मी मला मित्र मित्रांना भेट घेऊन जाईन.
12	Medium	उसने मुझे एक नई किताब दी।	त्याने मला एक नवीन पुस्तक दिले।	मी मला एक पुस्तक लिहिली.	मी मला एक पुस्तक लिहिली.	मी मला एक पुस्तक लिहिली.	मी मला एक पुस्तक लिहिली.
13	Medium	हमें समय पर काम पूरा करना चाहिए।	आपण वेळेवर काम पूर्ण केले पाहिजे।	आपण वेळेवर काम पूर्ण करायचे पाहिजे.	आपण वेळेवर काम पूर्ण करायचे पाहिजे.	आपण वेळेवर काम पूर्ण करायचे पाहिजे.	आपण वेळेवर काम पूर्ण करायचे पाहिजे.
14	Medium	ट्रेन एक घंटे देर से पहुँची।	ट्रेन एक तास उशिरा पोहोचली।	रेल्वे एका तास वेळ.	आठवड्यातून एक तास वेळ.	आठवड्यातून एक तास वेळ.	आठवड्यातून एक तास वेळ.
15	Medium	वह हर सुबह जल्दी उठता है।	तो दररोज सकाळी लवकर उठतो।	ते दररोज सकाळी लवकर येते.	ते दररोज सकाळी लवकर येते.	ते दररोज सकाळी लवकर येते.	ते दररोज सकाळी लवकर येते.
16	Medium	मैंने आज बाजार से फल खरीदे।	मी आज बाजारातून फळे विकत घेतली।	मी आज उत्पादन खरेदी केली.	मी आज उत्पादन खरेदी केली.	मी आज उत्पादन खरेदी केली.	मी आज उत्पादन खरेदी केली.
17	Medium	तुम्हें अपने स्वास्थ्य का ध्यान रखना चाहिए।	तुम्ही तुमच्या आरोग्याची काळजी घेतली पाहिजे।	आपण आपल्या आरोग्याची काळजी घेतली पाहिजे.	आपण आपल्या आरोग्याची काळजी घेतली पाहिजे.	आपण आपल्या आरोग्याची काळजी घेतली पाहिजे.	आपण आपल्या आरोग्याची काळजी घेतली पाहिजे.
18	Medium	शिक्षक ने छात्रों को समझाया।	शिक्षकांनी विद्यार्थ्यांना समजावले।	विद्यार्थ्यांना विद्यार्थ्यांनी विचारले.	विद्यार्थ्यांना विद्यार्थ्यांनी विचारले.	विद्यार्थ्यांना विद्यार्थ्यांनी विचारले.	विद्यार्थ्यांना विद्यार्थ्यांनी विचारले.
19	Medium	हम अगले महीने यात्रा पर जाएंगे।	आम्ही पुढच्या महिन्यात प्रवासाला जाऊ।	पुढच्या महिन्याच्या दौऱ्याला भेट.	पुढच्या महिन्यात दौऱ्याला जाणार आहे.	पुढच्या महिन्यात दौऱ्याला जाणार आहे.	पुढच्या महिन्याच्या दौऱ्याला जाणार आहे.
20	Medium	उसने अपना मोबाइल घर पर छोड़ दिया।	त्याने आपला मोबाईल घरीच सोडला।	त्यांनी आपल्या घरात घरी घरात.	त्यांनी आपल्या घरात घरी आणले.	त्यांनी आपल्या घरात घरी आणले.	त्यांनी आपल्या घरात घरी आणले.
21	Long	अगर हमें सफलता प्राप्त करनी है, तो लगातार मेहनत करनी होगी।	जर आपल्याला यश मिळवायचे असेल, तर सतत मेहनत करावी लागेल।	जर यशस्वी यश प्राप्त असेल तर आपण मेहनत करून पाहिजे.	जर यश प्राप्त करायचे असेल तर सतत मेहनत करायची आहे.	जर यश प्राप्त करायचे असेल तर सतत मेहनत करायची आहे.	जर आपण यश प्राप्त करायचे असेल तर सतत मेहनत करायची आहे.
22	Long	बारिश के कारण सड़क पर बहुत पानी भर गया था।	पावसामुळे रस्त्यावर खूप पाणी साचले होते।	पावसामुळे पाणी पाण्याची पाणीही पाणी.	पावसामुळे रस्त्याचे पाणी वाहत असत.	पावसामुळे रस्त्याचे पाणी वाहत असत.	पावसामुळे, पाणी पाण्याची पाणी होती.
23	Long	वैज्ञानिक नई तकनीकों पर लगातार शोध कर रहे हैं।	वैज्ञानिक नवीन तंत्रज्ञानावर सतत संशोधन करत आहेत।	वैज्ञानिक तंत्रज्ञान तंत्रज्ञानाच्या माध्यमातून सातत्याने संशोधनाला प्रोत्साहन देत आहेत.	वैज्ञानिक नवीन तंत्रज्ञानवर सातत्याने संशोधन करत आहेत.	वैज्ञानिक नवीन तंत्रज्ञानवर सातत्याने संशोधन करत आहेत.	वैज्ञानिक नवीन तंत्रज्ञानवर सातत्याने संशोधन करत आहेत.
24	Long	हमें पर्यावरण की रक्षा के लिए पेड़ लगाने चाहिए।	पर्यावरणाच्या संरक्षणासाठी आपण झाडे लावायला हवीत।	पर्यावरणाचे रक्षण करण्यासाठी लाकूड हवे.	पर्यावरणाचे रक्षण करण्यासाठी लाकूड हवे पाहिजे.	पर्यावरणाचे रक्षण करण्यासाठी लाकूड हवे पाहिजे.	पर्यावरणाचे रक्षण करण्यासाठी लाकूड हवे पाहिजे.
25	Long	इंटरनेट ने लोगों के संवाद करने का तरीका बदल दिया है।	इंटरनेटमुळे लोकांच्या संवाद करण्याच्या पद्धतीत बदल झाला आहे।	इंटरनेटमुळे लोकांना संवाद साधण्याची पद्धत बदलण्याची पद्धत बदलला आहे.	इंटरनेटशी संबंधित संवाद साधण्याचा मार्ग बदलला आहे.	इंटरनेटशी संबंधित संवाद साधण्याचा मार्ग बदलला आहे.	इंटरनेटशी संबंधित संवाद साधण्याचा मार्ग बदलला आहे.
26	Named Entity	राजीव दिल्ली में काम करता है।	राजीव दिल्लीमध्ये काम करतो।	दिल्लीमध्ये दिल्लीला काम करत आहे.	दिल्ली दिल्लीमध्ये काम करतो.	दिल्ली दिल्लीमध्ये काम करतो.	दिल्लीमध्ये दिल्लीला काम करत आहे.
27	Named Entity	सचิน तेंदुलकर भारत के महान खिलाड़ी हैं।	सचिन तेंडुलकर भारताचे महान खेळाडू आहेत।	भारताच्या वीरांचे, हा अभिमान आहे.	सत्यवान हे भारताचे विश्व खेळाडू आहे. आहेत.	सत्यवान हे भारताचे विश्व खेळाडू आहे. आहेत.	सत्यवान आणि, भारत हा अभिमान आहे.
28	Named Entity	मुंबई भारत का एक बड़ा शहर है।	मुंबई भारतातील एक मोठे शहर आहे।	मुंबई हा सर्वात मोठा शहर आहे.	मुंबई हा सर्वात मोठा शहर आहे.	मुंबई हा सर्वात मोठा शहर आहे.	मुंबई हा सर्वात मोठा शहर आहे.
29	Named Entity	प्रधानमंत्री ने नई योजना की घोषणा की।	पंतप्रधानांनी नवीन योजनेची घोषणा केली।	पंतप्रधानांनी यावेळी नवीन घोषणा केली.	यावेळी पंतप्रधानांनी जाहीर केले.	यावेळी पंतप्रधानांनी जाहीर केले.	पंतप्रधानांनी यावेळी नवीन घोषणा केली.
30	Named Entity	आईआईटी दिल्ली भारत का प्रसिद्ध संस्थान है।	आयआयटी दिल्ली भारतातील प्रसिद्ध संस्था आहे।	आयआयटी दिल्ली, प्रसिद्ध विद्यापीठ आहे.	आयआयटी दिल्लीमध्ये भारतीय प्रसिद्ध संस्था आहे.	आयआयटी दिल्लीमध्ये प्रसिद्ध भारतीय संस्था आहे.	आयआयटी दिल्लीमध्ये प्रसिद्ध केंद्र आहे.
31	Rare Word	किसान खेत में सिंचाई कर रहा है।	शेतकरी शेतात सिंचन करत आहे।	शेतकरी शेतामध्ये सिंचन होत आहे.	शेतकरी शेतामध्ये सिंचन होत आहे.	शेतकरी शेतामध्ये सिंचन होत आहे.	शेतकरी शेतामध्ये सिंचन होत आहे.
32	Rare Word	यह निर्णय लोकतांत्रिक प्रक्रिया का हिस्सा है।	हा निर्णय लोकशाही प्रक्रियेचा भाग आहे।	हा निर्णय लोकशाही लोकशाहीच्या प्रक्रियेचे भाग आहे.	हा निर्णय लोकशाहीच्या प्रक्रियेत हा भाग आहे.	हा निर्णय लोकशाही व्यवस्थाचा भाग आहे.	हा निर्णय लोकशाही व्यवस्थाचा भाग आहे.
33	Rare Word	मरीज को तुरंत उपचार की आवश्यकता है।	रुग्णाला तात्काळ उपचाराची गरज आहे।	रुग्णाला वेळेवर उपचार करण्याची गरज आहे.	रुग्णाला वेळेवर उपचार करण्याची गरज आहे.	रुग्णाला वेळेवर उपचार करण्याची गरज आहे.	रुग्णाला वेळेवर उपचार करण्याची गरज आहे.
34	Rare Word	वैज्ञानिकों ने नई खोज की पुष्टि की।	वैज्ञानिकांनी नवीन शोधाला दुजोरा दिला।	वैज्ञानिक शोध नवीन कल्पना स्वीकारण्याचा पुनरुच्चार केला.	वैज्ञानिक वैज्ञानिकांनी नवीन शोध स्वीकार केला.	वैज्ञानिक वैज्ञानिकांनी नवीन शोध स्वीकार केला.	वैज्ञानिक वैज्ञानिकांनी नवीन शोध स्वीकार केला.
35	Rare Word	अर्थव्यवस्था में सुधार दिखाई दे रहा है।	अर्थव्यवस्थेत सुधारणा दिसत आहे।	अर्थव्यवस्थेत सुधारणा दिसून येत आहे.	अर्थव्यवस्थेत सुधारणा दिसून येत आहे.	अर्थव्यवस्थेत सुधारणा दिसून येत आहे.	अर्थव्यवस्थेत सुधारणा दिसून येत आहे.
36	Morphology	लड़कियाँ स्कूल जा रही हैं।	मुली शाळेत जात आहेत।	वसति शाळा चालवत आहेत.	वसति शाळा चालवत आहेत.	वसति शाळा चालवत आहेत.	वसति शाळा चालवत आहेत.
37	Morphology	बच्चे खाना खा चुके हैं।	मुलांनी जेवण केले आहे।	मुले जेवण झाले आहेत.	मुले जेवण झाले आहेत.	मुले जेवण झाले आहेत.	मुले जेवण झाले आहेत.
38	Morphology	महिलाएँ बाजार में खरीदारी कर रही थीं।	स्त्रिया बाजारात खरेदी करत होत्या।	महिला बाजारात खरेदी करत.	महिला बाजारात खरेदी करत होते.	महिला बाजारात खरेदी करत होते.	महिला बाजारात खरेदी करत होते.
39	Morphology	हम लोग फिल्म देखने गए थे।	आम्ही चित्रपट पाहायला गेलो होतो।	आपण चित्रपट चित्र दाखवले गेले.	आपण चित्रपट दाखवले गेले.	आपण चित्रपट दाखवले गेले.	आपण चित्रपट दाखवले गेले.
40	Morphology	उन्होंने अपना काम पूरा कर लिया है।	त्यांनी आपले काम पूर्ण केले आहे।	त्यांनी काम पूर्ण केले आहे.	त्यांनी त्यांचे काम पूर्ण केले आहे.	त्यांनी त्यांचे काम पूर्ण केले आहे.	त्यांनी काम पूर्ण केले आहे.
41	Numerals	मेरे पास दो किताबें हैं।	माझ्याकडे दोन पुस्तके आहेत।	मला दोन पुस्तक दोन	मला दोन एक पुस्तक आहेत.	मला दोन एक पुस्तक आहेत.	मला दोन एक पुस्तक आहेत.
42	Numerals	बैठक सुबह 10 बजे शुरू होगी।	बैठक सकाळी १० वाजता सुरू होईल।	या बैठक सकाळी 10 वाजता सुरु होणार आहे.	या बैठकीत सकाळी 10 वाजता सुरु होणार आहे.	या बैठकीत सकाळी 10 वाजता सुरु होणार आहे.	या बैठक सकाळी 10 वाजता सुरु होणार आहे.
43	Numerals	उसने पाँच किलो आम खरीदे।	त्याने पाच किलो आंबे विकत घेतले।	त्यांनी पाच लाख रुपये खरेदी.	त्यांनी पाच रुपयाचे वाटप केले.	त्यांनी पाच रुपयाचे वाटप केले.	त्यांनी पाच लाख रुपये खरेदी.
44	Numerals	ट्रेन प्लेटफॉर्म नंबर 3 पर आएगी।	ट्रेन प्लॅटफॉर्म क्रमांक ३ वर येईल।	या टप्प्यांमध्ये दोन टप्प्यात असेल.	या टप्प्यांमध्ये पुढील टप्प्यात असेल.	या टप्प्यांमध्ये पुढील टप्प्यात असेल.	या टप्प्यांमध्ये पुढील टप्प्यात असेल.
45	Numerals	परीक्षा 25 मई को होगी।	परीक्षा २५ मे रोजी होईल।	परीक्षा 15 मेपर्यंत असेल.	परीक्षा 15 मेपर्यंत असेल.	परीक्षा 15 मेपर्यंत असेल.	परीक्षा 15 मेपर्यंत असेल.
